decimalLatitude,decimalLongitude,eventDate,month,species
28.88333,-113.5,2008-10-01 12:00:00+00:00,10,whale_shark
-21.9013,113.9015,2006-05-25 12:00:00+00:00,5,whale_shark
-23.0322,113.715,2007-05-29 12:00:00+00:00,5,whale_shark
16.5,-87.96667,2009-04-14 12:00:00+00:00,4,whale_shark
-21.9013,113.9015,2008-04-09 12:00:00+00:00,4,whale_shark
9.531595178,123.2562225787,2025-07-05 19:04:00+00:00,7,whale_shark
12.9333,123.533,2009-05-08 12:00:00+00:00,5,whale_shark
12.9333,123.533,2008-03-09 12:00:00+00:00,3,whale_shark
-4.7245492769,55.3127061843,2024-08-29 07:54:00+00:00,8,whale_shark
12.9333,123.533,2007-05-23 12:00:00+00:00,5,whale_shark
-22.84722,113.725,2008-04-16 12:00:00+00:00,4,whale_shark
3.49167,72.9,2008-04-24 12:00:00+00:00,4,whale_shark
25.11667,55.15,2005-07-16 12:00:00+00:00,7,whale_shark
-23.9736,35.5122,2006-02-16 12:00:00+00:00,2,whale_shark
-23.9736,35.5122,2005-12-17 12:00:00+00:00,12,whale_shark
-21.9013,113.9015,2009-04-21 12:00:00+00:00,4,whale_shark
9.93333,99.98333,2007-06-27 12:00:00+00:00,6,whale_shark
16.1392,-86.9041,2007-04-21 12:00:00+00:00,4,whale_shark
-8.6661277546,118.1081472461,2026-07-11 22:00:00+00:00,7,whale_shark
28.88333,-113.51667,2008-10-27 12:00:00+00:00,10,whale_shark
-21.7201096268,113.9634173497,2017-07-21 05:36:00+00:00,7,whale_shark
9.5196560765,124.0398795315,2022-08-11 12:09:33+00:00,8,whale_shark
24.1795222361,-110.355508109,2022-03-25 09:54:38+00:00,3,whale_shark
3.5282381713,72.8785422699,2021-07-27 05:22:00+00:00,7,whale_shark
16.13215,-86.86355,2005-04-11 12:00:00+00:00,4,whale_shark
-8.1679115869,118.7855706896,2020-11-10 22:07:50+00:00,11,whale_shark
-21.9013,113.9015,2009-06-16 00:00:00+00:00,6,whale_shark
-7.76667,113.26667,2010-02-10 12:00:00+00:00,2,whale_shark
-21.92377,113.9226,1996-04-28 12:00:00+00:00,4,whale_shark
