decimalLatitude,decimalLongitude,eventDate,month,species,sst
-23.0322,113.715,2005-04-06 12:00:00+00:00,4,whale_shark,25.036788672847557
-21.9013,113.9015,2009-05-29 12:00:00+00:00,5,whale_shark,25.675786608329787
28.9456383333,-113.554795,2022-08-22 00:09:22+00:00,8,whale_shark,22.345893079586965
12.9333,123.533,2006-04-18 12:00:00+00:00,4,whale_shark,28.51596874092765
12.9333,123.533,2009-04-02 12:00:00+00:00,4,whale_shark,28.51596874092765
12.9,123.53333,2009-04-10 12:00:00+00:00,4,whale_shark,28.48981481942721
-23.9736,35.5122,2006-11-16 12:00:00+00:00,11,whale_shark,25.938334449139674
-21.9013,113.9015,1999-04-22 12:00:00+00:00,4,whale_shark,25.675786608329787
-21.9013,113.9015,2003-05-29 12:00:00+00:00,5,whale_shark,25.675786608329787
-15.9200695177,-5.6368674599,2016-01-10 19:54:00+00:00,1,whale_shark,22.408189787483785
-7.8234078785,39.6869478993,2014-11-20 07:18:00+00:00,11,whale_shark,27.73071319203005
12.9333,123.533,2009-02-23 12:00:00+00:00,2,whale_shark,28.51596874092765
12.91667,123.53333,2009-04-13 12:00:00+00:00,4,whale_shark,28.51596874092765
12.9333,123.533,2009-05-01 12:00:00+00:00,5,whale_shark,28.51596874092765
12.9333,123.533,2010-02-22 12:00:00+00:00,2,whale_shark,28.51596874092765
-23.9736,35.5122,2006-01-02 12:00:00+00:00,1,whale_shark,25.938334449139674
12.9333,123.533,2009-03-06 12:00:00+00:00,3,whale_shark,28.51596874092765
-21.9013,113.9015,2002-06-26 12:00:00+00:00,6,whale_shark,25.675786608329787
12.9333,123.533,2009-03-29 12:00:00+00:00,3,whale_shark,28.51596874092765
24.1856968027,-110.3446457982,2019-11-13 16:40:00+00:00,11,whale_shark,25.649328184524276
-23.9736,35.5122,2008-10-20 12:00:00+00:00,10,whale_shark,25.938334449139674
12.9333,123.533,2009-03-17 12:00:00+00:00,3,whale_shark,28.51596874092765
-23.0322,113.715,2009-04-29 12:00:00+00:00,4,whale_shark,25.036788672847557
-21.9013,113.9015,2007-04-27 12:00:00+00:00,4,whale_shark,25.675786608329787
-21.9013,113.9015,2003-04-10 12:00:00+00:00,4,whale_shark,25.675786608329787
12.9333,123.533,2010-02-07 12:00:00+00:00,2,whale_shark,28.51596874092765
-23.0322,113.715,2002-05-24 12:00:00+00:00,5,whale_shark,25.036788672847557
